Animal_ID,ToeClip,BC_Cage,Treatment,Week,Regeneration
BC566,5255,59,AdLib,2,0.1
BC514,5032,59,DR,2,NA
BC538,5151,32,DR,2,0.05
BC039,1455,32,DR.IGF1,3,6
BC048,1513,28,AdLib,3,8
BC099,1/2111,9,AdLib,3,5
BC121,2203,32,DR.IGF1,3,4.5
BC144,2301,39,DR,3,6
BC158,2330,28,DR.IGF2,3,6.5
BC161,2333,8,AdLib,3,5
BC174,2411,36,DR.IGF1,3,NA
BC181,2425,39,DR,3,10
BC184,2432,39,DR,3,6.5
BC197,2510,28,DR.IGF1,3,8
BC205,2523,15,DR.IGF2,3,6
BC211,2550,28,AdLib,3,7
BC214,2555,8,DR,3,6
BC234,3505,NA,DR.IGF1,3,NA
BC260,3150,32,DR,3,NA
BC265,3200,11,DR.IGF1,3,6.5
BC266,3201,11,DR.IGF2,3,5
BC268,3203,11,DR,3,5
BC272,3212,11,DR.IGF2,3,5
BC274,3215,11,AdLib,3,6
BC275,3220,8,AdLib,3,2.5
BC276,3221,11,AdLib,3,7
BC280,3230,11,DR.IGF1,3,NA
BC284,3235,36,AdLib,3,NA
BC288,3253,32,DR.IGF1,3,4
BC290,3300,32,DR.IGF2,3,2
BC298,3313,36,DR.IGF2,3,5
BC312,3351,28,DR.IGF2,3,6
BC315,3355,15,DR,3,6
BC316,3400,8,DR.IGF2,3,5.5
BC322,3411,15,DR,3,NA
BC327,3421,32,DR.IGF1,3,0
BC333,3435,36,AdLib,3,11
BC335,3451,35,AdLib,3,10.5
BC336,3452,35,DR.IGF2,3,7
BC337,3453,35,DR.IGF2,3,9
BC338,3455,35,DR,3,7
BC344,3510,31,DR.IGF2,3,6
BC350,3521,29,DR.IGF2,3,NA
BC351,3522,29,DR,3,3
BC352,3523,29,DR.IGF2,3,1
BC360,3551,25,DR,3,10
BC361,3552,25,AdLib,3,8
BC362,3555,25,DR.IGF1,3,5.5
BC364,4000,25,DR,3,9
BC380,4031,20,DR,3,NA
BC383,4035,20,DR,3,4
BC384,4050,19,AdLib,3,NA
BC386,4052,19,DR,3,4
BC392,4103,39,DR.IGF2,3,1.5
BC393,4105,39,DR.IGF1,3,6.5
BC401,4122,32,DR.IGF1,3,NA
BC402,4123,28,DR.IGF2,3,6.5
BC403,4125,28,AdLib,3,4
BC410,4151,18,AdLib,3,4
BC413,4155,18,DR.IGF1,3,NA
BC433,4250,45,DR.IGF1,3,4
BC434,4251,45,AdLib,3,4
BC435,4252,45,DR.IGF2,3,6.5
BC436,4253,45,DR,3,3.5
BC452,4325,45,DR.IGF1,3,5
BC457,4335,46,AdLib,3,6.5
BC460,4352,46,DR.IGF1,3,5
BC461,4353,46,DR.IGF1,3,5
BC464,4401,46,DR.IGF1,3,6
BC475,4503,50,DR,3,6
BC476,4505,50,AdLib,3,5
BC477,4510,50,AdLib,3,9
BC512,5030,59,DR.IGF2,3,5
BC535,5133,39,AdLib,3,5.5
BC539,5152,28,DR.IGF2,3,NA
BC546,5205,29,DR.IGF2,3,10
BC556,5225,50,DR.IGF1,3,8
BC560,5233,NA,DR.IGF1,3,4
BC561,5235,NA,DR,3,6
BC563,5251,NA,DR.IGF1,3,NA
BC566,5255,59,AdLib,3,7
BC514,5032,59,DR,3,NA
BC538,5151,32,DR,3,2
BC039,1455,32,DR.IGF1,4,11
BC048,1513,28,AdLib,4,14
BC099,1/2111,9,AdLib,4,10
BC121,2203,32,DR.IGF1,4,9
BC144,2301,39,DR,4,10
BC158,2330,28,DR.IGF2,4,10
BC161,2333,8,AdLib,4,9.5
BC174,2411,36,DR.IGF1,4,NA
BC181,2425,39,DR,4,10
BC184,2432,39,DR,4,11
BC197,2510,28,DR.IGF1,4,11
BC205,2523,15,DR.IGF2,4,11.5
BC211,2550,28,AdLib,4,13
BC214,2555,8,DR,4,11
BC234,3505,NA,DR.IGF1,4,NA
BC260,3150,32,DR,4,NA
BC265,3200,11,DR.IGF1,4,9
BC266,3201,11,DR.IGF2,4,7
BC268,3203,11,DR,4,7
BC272,3212,11,DR.IGF2,4,9
BC274,3215,11,AdLib,4,11
BC275,3220,8,AdLib,4,4
BC276,3221,11,AdLib,4,13
BC280,3230,11,DR.IGF1,4,NA
BC284,3235,36,AdLib,4,NA
BC288,3253,32,DR.IGF1,4,9
BC290,3300,32,DR.IGF2,4,3.5
BC298,3313,36,DR.IGF2,4,10
BC312,3351,28,DR.IGF2,4,9
BC315,3355,15,DR,4,13
BC316,3400,8,DR.IGF2,4,6
BC322,3411,15,DR,4,NA
BC327,3421,32,DR.IGF1,4,0.5
BC333,3435,36,AdLib,4,17.5
BC335,3451,35,AdLib,4,16
BC336,3452,35,DR.IGF2,4,13
BC337,3453,35,DR.IGF2,4,15.5
BC338,3455,35,DR,4,9
BC344,3510,31,DR.IGF2,4,8
BC350,3521,29,DR.IGF2,4,NA
BC351,3522,29,DR,4,4
BC352,3523,29,DR.IGF2,4,3
BC360,3551,25,DR,4,16
BC361,3552,25,AdLib,4,14
BC362,3555,25,DR.IGF1,4,9
BC364,4000,25,DR,4,12
BC380,4031,20,DR,4,NA
BC383,4035,20,DR,4,6
BC384,4050,19,AdLib,4,NA
BC386,4052,19,DR,4,6
BC392,4103,39,DR.IGF2,4,4
BC393,4105,39,DR.IGF1,4,10
BC401,4122,32,DR.IGF1,4,NA
BC402,4123,28,DR.IGF2,4,9
BC403,4125,28,AdLib,4,5.5
BC410,4151,18,AdLib,4,8
BC413,4155,18,DR.IGF1,4,NA
BC433,4250,45,DR.IGF1,4,7
BC434,4251,45,AdLib,4,9
BC435,4252,45,DR.IGF2,4,10
BC436,4253,45,DR,4,6
BC452,4325,45,DR.IGF1,4,7
BC457,4335,46,AdLib,4,10
BC460,4352,46,DR.IGF1,4,9
BC461,4353,46,DR.IGF1,4,9
BC464,4401,46,DR.IGF1,4,10.5
BC475,4503,50,DR,4,9.5
BC476,4505,50,AdLib,4,10.5
BC477,4510,50,AdLib,4,15
BC512,5030,59,DR.IGF2,4,6
BC535,5133,39,AdLib,4,9
BC539,5152,28,DR.IGF2,4,NA
BC546,5205,29,DR.IGF2,4,15
BC556,5225,50,DR.IGF1,4,13
BC560,5233,NA,DR.IGF1,4,7.5
BC561,5235,NA,DR,4,12
BC563,5251,NA,DR.IGF1,4,NA
BC566,5255,59,AdLib,4,12
BC514,5032,59,DR,4,NA
BC538,5151,32,DR,4,4
BC039,1455,32,DR.IGF1,5,16
BC048,1513,28,AdLib,5,19
BC099,1/2111,9,AdLib,5,13
BC121,2203,32,DR.IGF1,5,11
BC144,2301,39,DR,5,19
BC158,2330,28,DR.IGF2,5,13
BC161,2333,8,AdLib,5,18
BC174,2411,36,DR.IGF1,5,NA
BC181,2425,39,DR,5,11
BC184,2432,39,DR,5,19.5
BC197,2510,28,DR.IGF1,5,19
BC205,2523,15,DR.IGF2,5,16
BC211,2550,28,AdLib,5,18.5
BC214,2555,8,DR,5,13
BC234,3505,NA,DR.IGF1,5,NA
BC260,3150,32,DR,5,NA
